,All full-time employees 1,"Managers, directors & senior officials",Professional occupations,Associate professional & technical,Administrative & secretarial ,Skilled trades,"Caring, leisure & other services",Sales & customer services,"Process, plant & machine operatives",Elementary occupations
Jan-Mar 2019,623,886,800,683,459,503,366,411,486,387
Apr-Jun 2019,640,944,832,684,455,510,368,413,494,378
Jul-Sep 2019,646,934,828,726,470,509,366,406,487,378
Oct-Dec 2019,647,954,844,699,457,503,358,407,501,380
2019 average,639,930,826,698,460,506,364,410,492,381
,All full-time employees 1,"Managers, directors & senior officials",Professional occupations,Associate professional & technical,Administrative & secretarial ,Skilled trades,"Caring, leisure & other services",Sales & customer services,"Process, plant & machine operatives",Elementary occupations
